n_voters,noise_sd,mean_ranking_accuracy,p_tracked,expected_share_optimal,expected_share_other,expected_share_abstain
-1,10.0,0.8149020532269964,0.0,0.3973896925458156,0.6026103074541844,0.0
-1,14.677992676220699,0.7613930040496548,0.0,0.45075250949563017,0.5492474905043698,0.0
-1,21.544346900318832,0.7195037485794543,0.0,0.4923938629338681,0.5076061370661319,0.0
-1,31.622776601683793,0.6888337189217789,1.0,0.5227295368629128,0.4772704631370872,0.0
-1,46.41588833612777,0.6670811245830978,1.0,0.5440083288216911,0.45599167117830885,0.0
-1,68.12920690579611,0.651791242623648,1.0,0.5585906198063437,0.4414093801936563,0.0
-1,100.0,0.6409784588948678,1.0,0.5684103131689321,0.4315896868310679,0.0
-1,146.7799267622069,0.6331213442503975,1.0,0.5748545605010158,0.4251454394989842,0.0
-1,215.44346900318823,0.627043841480847,1.0,0.5788436254113764,0.42115637458862365,0.0
-1,316.22776601683796,0.6208692930022163,1.0,0.5800069315173625,0.4199930684826375,0.0
-1,464.15888336127773,0.6115278670249207,1.0,0.5763125871507717,0.4236874128492283,0.0
-1,681.2920690579608,0.5983252330341868,1.0,0.5677460754014914,0.43225392459850864,0.0
-1,1000.0,0.582216282145852,1.0,0.5556336821007996,0.44436631789920045,0.0
-1,1467.799267622069,0.5652189094846236,1.0,0.5420849259450006,0.4579150740549994,0.0
-1,2154.4346900318824,0.5496919229259313,1.0,0.5294892497113646,0.4705107502886354,0.0
-1,3162.2776601683795,0.5369949021088825,1.0,0.5193374287965757,0.48066257120342426,0.0
-1,4641.588833612777,0.5272722086565089,1.0,0.5119559355191071,0.4880440644808929,0.0
-1,6812.920690579608,0.5199964991277423,1.0,0.5070144778768757,0.4929855221231243,0.0
-1,10000.0,0.5145569531613012,1.0,0.5039382404597056,0.4960617595402944,0.0
-1,14677.992676220676,0.5105131098738424,1.0,0.5021172809139913,0.4978827190860087,0.0
-1,21544.346900318822,0.507536458855743,1.0,0.5010779987525575,0.49892200124744246,0.0
-1,31622.776601683792,0.5053577127240625,1.0,0.5005142534335256,0.4994857465664744,0.0
-1,46415.888336127726,0.5037706263565925,1.0,0.5002308490572438,0.4997691509427562,0.0
-1,68129.20690579608,0.5026252439898732,1.0,0.5001012305419683,0.4998987694580317,0.0
-1,100000.0,0.501811495843637,1.0,0.5000461248661856,0.4999538751338144,0.0
